Fusarium sp FIESC 1a 43637,ipomoeae
Fusarium sp FIESC 2a 36401,duofalcatisporum
Fusarium sp FIESC 3a 36323,compactum
Fusarium sp FIESC 5a 32871,clavum
Fusarium sp FIESC 6a 43638,brevicaudatum
Fusarium sp FIESC 7a 32997,arcuatisporum
Fusarium sp FIESC 10a 3020,croceum
Fusarium sp FIESC 11a 36372,longifundum
Fusarium sp FIESC 12a 6548,flagelliforme
Fusarium sp FIESC 13a 43635,gracilipes
Fusarium sp FIESC 15a 32175,irregulare
Fusarium sp FIESC 16a 34004,sulawesiense
Fusarium sp FIESC 17a 32864,pernambucanum
Fusarium sp FIESC 18a 31167,luffae
Fusarium sp FIESC 19a 43639,multiceps
Fusarium sp FIESC 20a 34003,caatingaense
Fusarium sp FIESC 21b 32865,guilinense
Fusarium sp FIESC 23b 13379,incarnatum
Fusarium sp FIESC 25a 22244,nanum
Fusarium sp FIESC 26a 26417,hainanense
Fusarium sp FIESC 28a 28577,coffeatum
Fusarium sp FIESC 24a 34005,tanahbumbuense
